MEAN,STD,SUM,FORMACION,Value,ColorCode,USO
1.94295799732,0,1.94295799732,Matorral esclerofilo,7,#c6b044,Shrublands
4.24792861938,0,4.24792861938,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
5.97677593231,0.254360448185,29.8838796616,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
7.56524753571,0,7.56524753571,Bosque esclerofilo,7,#c6b044,Shrublands
2.2374253273,1.05158377977,6.7122759819,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.64973847424,1.33034175762,51.1418927014,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
3.10565897822,1.1231541115400001,12.4226359129,Bosque esclerofilo,7,#c6b044,Shrublands
4.2075419426,0,4.2075419426,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.82576560974,0,4.82576560974,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.615061283112,0,0.615061283112,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
4.17339844363,0.571544326052,58.4275782108,Bosque esclerofilo,7,#c6b044,Shrublands
3.56388831139,0.0832569599152,7.12777662277,Bosque esclerofilo,7,#c6b044,Shrublands
7.57060813904,1.85928442973,22.7118244171,Bosque esclerofilo,7,#c6b044,Shrublands
4.53245681524,1.26892903559,18.129827261,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.62463308871,1.25184657315,10.4985323548,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.02573251724,0,2.02573251724,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
1.19022194828,0.501637051564,8.33155363798,Matorral esclerofilo,6,#c6b044,Shrublands
2.21457700729,0.622547721873,11.0728850365,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
1.89360455275,1.04287161755,9.46802276373,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
5.16687297821,0.436251688003,15.5006189346,Bosque esclerofilo,7,#c6b044,Shrublands
5.09717988968,0,5.09717988968,Bosque esclerofilo,7,#c6b044,Shrublands
3.94780945778,0,3.94780945778,Bosque esclerofilo,7,#c6b044,Shrublands
2.34123803675,2.82298559108,18.729904294,Bosque esclerofilo,7,#c6b044,Shrublands
1.94934242964,0.214156965779,7.79736971855,Matorral esclerofilo,7,#c6b044,Shrublands
3.00120902061,0.250994000616,15.0060451031,Bosque esclerofilo,7,#c6b044,Shrublands
1.51188361645,0,1.51188361645,Matorral esclerofilo,7,#c6b044,Shrublands
1.27366796136,0.118535803355,5.09467184544,Matorral esclerofilo,6,#c6b044,Shrublands
2.44860672951,0,2.44860672951,Bosque esclerofilo,7,#c6b044,Shrublands
3.62184512615,0.0852395296097,7.2436902523,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
2.25360365709,1.08290863394,6.76081097126,Bosque esclerofilo,7,#c6b044,Shrublands
1.94072520733,0.654319251254,21.3479772806,Matorral esclerofilo,7,#c6b044,Shrublands
5.03504435221,0.594410595694,15.1051330566,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
0.796350994872,0.484465172977,7.16715895385,Bosque esclerofilo,7,#c6b044,Shrublands
1.72057545185,0,1.72057545185,Matorral esclerofilo,7,#c6b044,Shrublands
2.43789400373,0.85721387537,17.0652580261,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
2.17907810211,0,2.17907810211,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
2.0176203250900002,0,2.0176203250900002,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
4.28389120102,0.307564689149,12.8516736031,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
4.74057692289,1.3119687892,18.9623076916,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
1.56924001046,1.44148190641,39.2310002614,Bosque esclerofilo,7,#c6b044,Shrublands
8.22504965464,0.264829444479,24.6751489639,Bosque esclerofilo,16,#f9ffa4,Bare soil
0.332681357861,0,0.332681357861,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
1.72015857697,0,1.72015857697,Matorral esclerofilo,7,#c6b044,Shrublands
2.99839472771,0,2.99839472771,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
5.38156795502,0,5.38156795502,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
3.14028271039,1.01909819759,18.8416962624,Bosque esclerofilo,7,#c6b044,Shrublands
2.48797829946,0.632747869717,7.46393489838,Matorral esclerofilo,7,#c6b044,Shrublands
5.38876424517,0.307598365785,37.7213497162,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.0706579238176,0.00611235946417,0.141315847635,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
3.33766945203,0.271338528502,10.0130083561,Matorral esclerofilo,9,#fbff13,Croplands / Grasslands
1.80616253614,0.108302414417,3.61232507229,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
2.24467307329,0.91819447279,4.48934614658,Bosque esclerofilo,9,#fbff13,Croplands / Grasslands
0.502800762653,0.155151848362,1.50840228796,Bosque esclerofilo,10,#fbff13,Croplands / Grasslands
1.9513682127,0,1.9513682127,Matorral esclerofilo,10,#fbff13,Croplands / Grasslands
